track,cos_AB,ovl_AB,cos_AC,ovl_AC,cos_AD,ovl_AD,cos_BC,ovl_BC,cos_BD,ovl_BD,cos_CD,ovl_CD
"FC Kahuna/Signature Series, Vol. 1_ Greatest Remixes/04 - What Is Kahuna_ (Fatboy Slim's _Smell The Kahuna_ Mix).mp3",-0.0060,0.40,0.0151,0.60,0.9804,0.40,0.9574,0.40,-0.0225,0.30,-0.0001,0.40
"FC Kahuna/This Is Tech-Pop_ 21st Century Electro and New Wave/15 - Machine Says Yes.mp3",0.0340,0.20,0.0290,0.40,0.9669,0.30,0.9315,0.40,0.0398,0.40,0.0349,0.40
"Falco/The Edge Level 2 Disc 2/Der Kommissar.mp3",-0.0272,0.40,-0.0293,0.40,0.9866,0.30,0.9632,0.80,-0.0148,0.60,-0.0173,0.50
"Familjen/H\u00f6g Luft/H\u00f6g luft (The Field rmx).mp3",-0.0153,0.10,-0.0234,0.30,0.9926,0.40,0.9866,0.70,-0.0201,0.30,-0.0279,0.40
"Fatboy Slim/CD-Singel/Gangster Trippin.mp3",0.0171,0.50,0.0315,0.40,0.9499,0.70,0.9036,0.70,0.0057,0.40,0.0236,0.30
"Fatboy Slim_Ashley Slater/Halfway Between the Gutter and the Stars/07 - Retox.mp3",-0.0546,0.40,-0.0593,0.50,0.9601,0.70,0.9515,0.50,-0.0393,0.20,-0.0387,0.30
"Fleetwood Mac/Tusk/3-12 That's Enough for Me (9_29_78 Version).mp3",-0.0152,0.40,-0.0028,0.40,0.9860,0.60,0.9725,0.60,-0.0364,0.50,-0.0210,0.40
"Foetus/Blow/03 Victim or Victor - Jay Wasco mix.mp3",-0.0224,0.30,-0.0389,0.50,0.9580,0.30,0.8862,0.40,-0.0274,0.30,-0.0363,0.30
"Foo Fighters/The X-Files_ The Album/03 - Walking After You.mp3",0.0092,0.40,0.0168,0.40,0.9934,0.60,0.9838,0.60,0.0101,0.30,0.0188,0.20
"For Love Not Lisa/The Crow Original Motion Picture Soundtrack/10 Slip Slide Melting.mp3",-0.0341,0.60,-0.0389,0.80,0.9920,0.70,0.9613,0.80,-0.0255,0.60,-0.0296,0.70
"Ford & Lopatin/Channel Pressure/2-02 Emergency Room (Instrumental version).mp3",-0.0019,0.20,-0.0102,0.30,0.9903,0.50,0.9797,0.80,-0.0044,0.30,-0.0124,0.40
"Ford & Lopatin/Emergency Room/01 Emergency Room.mp3",0.0419,0.40,0.0332,0.40,0.9925,0.50,0.9752,0.70,0.0365,0.60,0.0297,0.40
"Fred Bartley/FJB Mix 2003/Spider Disco.mp3",-0.0370,0.50,-0.0440,0.60,0.9753,0.40,0.9527,0.70,-0.0455,0.50,-0.0548,0.40
"Freescha/Freeschaland/12 Slo-Peeq.mp3",-0.0168,0.20,-0.0242,0.20,0.9940,0.70,0.9903,0.60,-0.0232,0.20,-0.0288,0.20
"Freescha/Unknown Album/my first robot.mp3",0.0286,0.50,0.0253,0.50,0.9629,0.50,0.9600,0.80,0.0146,0.50,0.0165,0.50
"French Kicks/'S-T'/04 So Many Cakes.mp3",-0.0427,0.40,-0.0344,0.50,0.9882,0.60,0.9763,0.70,-0.0465,0.30,-0.0349,0.30
"Fun Fun/Unknown Album/Color My Love (Instrumental).mp3",0.0088,0.20,0.0136,0.40,0.9763,0.50,0.9837,0.60,-0.0051,0.10,-0.0020,0.20
"Funkst\u00f6rung/Disconnected Promo/06 The Zoo.mp3",0.0303,0.40,0.0363,0.70,0.9641,0.70,0.9468,0.50,0.0418,0.40,0.0478,0.70
"G. Gunn/Tool/01 Music_Visualization_Update.9.2.mp3",0.0319,0.30,0.0226,0.50,0.9621,0.30,0.9366,0.40,0.0416,0.20,0.0321,0.20
"GOLDEN LIVING ROOM/NEW NOSTALGIA/10 LOST IN YR PROCESSOR.mp3",-0.0390,0.40,-0.0288,0.40,0.9971,0.70,0.9922,0.80,-0.0425,0.30,-0.0327,0.30
"Gary Numan/The Best 80s Modern Rock Album...Ever! (Disk 2)/01 Cars.mp3",0.0161,0.30,0.0087,0.40,0.9899,0.50,0.9835,0.50,0.0088,0.30,0.0020,0.20
"Gatekeeper/Skull Disco - Soundboy Punishments (Disc 1)/09 Tomb.mp3",-0.0257,0.40,-0.0312,0.70,0.9732,0.60,0.9626,0.60,-0.0186,0.40,-0.0268,0.40
"Geinoh Yamashirogumi/AKIRA - Original Sound Track/02 Battle Against Clown.mp3",-0.0202,0.30,-0.0151,0.40,0.9715,0.50,0.9560,0.60,-0.0310,0.30,-0.0238,0.20
"Geinoh Yamashirogumi/AKIRA Symphonic Suite/01-geinoh_yamashirogumi-kaneda.flac",-0.0268,0.40,-0.0417,0.50,0.9752,0.70,0.9373,0.60,-0.0243,0.30,-0.0469,0.40
"George Clanton/100% Electronica/06 Bleed.mp3",0.0594,0.20,0.0439,0.50,0.9820,0.60,0.9479,0.50,0.0671,0.30,0.0493,0.50
"Georges Ribemont-Dessaigne/Festival Dada Paris/05 Festival Dada - Salle Gaveau 26 May 1920 - Le Nombril Interlope.mp3",0.0278,0.80,0.0125,0.90,0.9825,0.90,0.9747,0.80,0.0378,0.80,0.0237,0.90
"Global Graffiti/Latin_ Caribbean & Flamenco Vol 01/12 Dance Of Pasaro.mp3",-0.0417,0.50,-0.0277,0.40,0.9876,0.50,0.9769,0.40,-0.0446,0.50,-0.0304,0.20
"Go Periscope/Culture Bully Presents_ 2010 Mashed/1-02 Black & Yellow (Wiz Khalifa vs. Alphaville mashup).mp3",0.0064,0.30,0.0063,0.20,0.9893,0.60,0.9819,0.80,0.0100,0.30,0.0089,0.20
"Gogol Bordello/Gypsy Punks_ Underdog World Strike/02 Never Young.mp3",-0.0439,0.40,-0.0553,0.70,0.9220,0.20,0.8877,0.40,-0.0300,0.40,-0.0394,0.40
"Golden Boy_Miss Kitten/This Is Tech-Pop_ 21st Century Electro and New Wave/12 - Rippin Kittin.mp3",-0.0376,0.50,-0.0425,0.50,0.9758,0.50,0.9616,0.80,-0.0521,0.40,-0.0581,0.30
"Gorillaz/Gorillaz/02 5_4.mp3",-0.0068,0.30,-0.0105,0.60,0.9746,0.70,0.9269,0.50,0.0144,0.40,0.0079,0.50
"Gotye/Making mirrors/04 Somebody that I used to know.mp3",-0.0263,0.20,-0.0294,0.20,0.9867,0.50,0.9510,0.60,-0.0288,0.20,-0.0321,0.10
"Grandaddy/The Sophtware Slump/01 He's Simple, He's Dumb, He's The Pilot.mp3",0.0063,0.50,-0.0056,0.40,0.9492,0.40,0.9544,0.70,-0.0026,0.30,-0.0100,0.10
"Grant Lee Buffalo/Somewhat Goth Mix/16 Mockingbird.mp3",0.0401,0.20,0.0372,0.20,0.9507,0.50,0.9531,0.70,0.0462,0.30,0.0469,0.20
"Grimes/Unknown Album/Crystal Ball (Young Galaxy Remix).mp3",-0.0354,0.20,-0.0347,0.50,0.9729,0.30,0.9541,0.50,-0.0232,0.10,-0.0217,0.20
"Grouper/A I A _ Dream Loss/07 A Lie.mp3",-0.1477,0.50,-0.1247,0.60,0.9916,0.80,0.9718,0.60,-0.1421,0.50,-0.1202,0.50
"Gus Gus/Gus Gus Vs. T-World/02 Northern Lights.mp3",-0.0389,0.20,-0.0232,0.40,0.9753,0.30,0.9720,0.60,-0.0290,0.30,-0.0142,0.20
"Gustavo Santaolalla/The Last of Us/29 The Path (A New Beginning).mp3",0.0429,0.30,0.0340,0.50,0.9905,0.60,0.9662,0.70,0.0379,0.40,0.0276,0.40
"HAIM/Days Are Gone/HAIM_Days Are Gone_01-02_Forever.flac",-0.0005,0.40,0.0013,0.50,0.9625,0.30,0.9315,0.40,-0.0097,0.30,-0.0038,0.30
"Harold Budd/Luxa/09 How Dark the Responceto Our Slipping Away.mp3",0.0188,0.40,0.0136,0.60,0.9757,0.80,0.9779,0.70,0.0364,0.50,0.0270,0.50
"Haunted House/Tangent 2002_ Disco Nouveau/10 Mat-101.mp3",-0.0274,0.50,-0.0178,0.60,0.9756,0.60,0.9683,0.70,-0.0217,0.50,-0.0118,0.40
"Her Space Holiday/Audio Astronomy/09 Skyliner.mp3",-0.0237,0.50,-0.0201,0.40,0.9571,0.70,0.9511,0.70,-0.0249,0.40,-0.0184,0.40
"Her Space Holiday/Silent Films/03 The Unbelievable Broadcast.mp3",-0.0567,0.10,-0.0598,0.20,0.9816,0.50,0.9460,0.60,-0.0551,0.20,-0.0580,0.10
"Herbert/Parts in the Post/08 - Foreign Bodies.mp3",-0.0475,0.10,-0.0563,0.40,0.9735,0.60,0.9395,0.50,-0.0599,0.20,-0.0700,0.10
"Hooverphonic/A New Stereophonic Sound Spectacular/02 2 Wicky.mp3",0.0284,0.40,0.0300,0.30,0.9791,0.50,0.9551,0.60,0.0221,0.40,0.0254,0.30
"Hot Chip/Hop Chip - Dj-Kicks/07 My Piano (Dj-Kicks).mp3",-0.0120,0.20,0.0046,0.40,0.9882,0.50,0.9718,0.60,-0.0200,0.10,-0.0033,0.30
"Illuminatus/Global Underground 003_ San Francisco/03 - Hope.mp3",-0.0408,0.20,-0.0391,0.50,0.9831,0.30,0.9810,0.30,-0.0415,0.70,-0.0420,0.20
"Ima Robot/Ima Robot Demos/02 Twist & Shout.mp3",-0.0612,0.20,-0.0425,0.30,0.9879,0.50,0.9386,0.60,-0.0562,0.30,-0.0420,0.20
"Indigo/Exit Records Presents - Mosaic Vol. 1/2-13 Time.mp3",-0.0272,0.30,-0.0042,0.50,0.9565,0.60,0.9466,0.40,-0.0287,0.20,-0.0082,0.20
"Interpol/Our Love To Admire/03 The Scale.mp3",-0.0001,0.30,0.0055,0.50,0.9894,0.60,0.9678,0.80,0.0039,0.30,0.0121,0.40
"Interpol/Turn on the Bright Lights/03 NYC.mp3",0.0091,0.30,0.0026,0.40,0.9864,0.70,0.9718,0.80,0.0076,0.30,0.0038,0.40
"JMJ_Flytronix/DJ-Kicks/06 - In Too Deep.mp3",-0.0091,0.40,-0.0031,0.50,0.9543,0.70,0.9611,0.50,-0.0111,0.40,-0.0033,0.40
"James/Album/05 Born of Frustration.mp3",-0.0104,0.50,-0.0062,0.40,0.9857,0.60,0.9707,0.70,-0.0229,0.50,-0.0176,0.30
"Jamie xx/Loud Places (Remixes)/03 Loud Places [Barnt E-Mix] (feat. Jamie xx (feat. Romy)).mp3",0.0370,0.00,0.0356,0.30,0.9590,0.20,0.9504,0.40,0.0195,0.30,0.0232,0.30
"Jason Jinx/Yoshiesque/03 - The N.Y. Experience (Jinx Super Chunk Mix).mp3",-0.0130,0.40,-0.0366,0.40,0.9764,0.40,0.9743,0.70,0.0023,0.40,-0.0202,0.50
"Jean Michel Jarre/Oxygene (New Master Recording)/05 Oxygene (Part V).mp3",0.0097,0.40,-0.0017,0.60,0.9816,0.70,0.9701,0.70,-0.0021,0.30,-0.0145,0.40
"Jeffish/Best in Show/We Both Love Soup.mp3",0.0165,0.30,0.0262,0.30,0.9786,0.40,0.9724,0.60,0.0187,0.20,0.0250,0.20
"Jeffish/MASH THAT/All That Jeff Wants.mp3",0.0040,0.10,-0.0037,0.10,0.9514,0.20,0.8769,0.30,-0.0288,0.00,-0.0312,0.00
"Jeffrey Crouse/Jeffrey Crouse's Album/What a Fool Believes.mp3",-0.0216,0.20,-0.0211,0.20,0.9727,0.50,0.9682,0.60,-0.0021,0.00,-0.0020,0.00
"Jellica/Da Chip (Bonus Tracks)/Phoenix (Daft Punk Cover).mp3",0.0740,0.50,0.0854,0.60,0.9808,0.40,0.9765,0.60,0.0747,0.50,0.0834,0.40
"Jewel/Unknown Album/Who Will Save Your Soul [Karao.mp3",-0.0007,0.10,0.0062,0.20,0.9892,0.40,0.9907,0.50,0.0017,0.20,0.0090,0.20
"Joe Frank/Unknown Album/Karma Part 6.mp3",-0.0222,0.20,-0.0303,0.40,0.9514,0.30,0.9583,0.60,-0.0262,0.20,-0.0360,0.10
"John Adams/Concerto pour violon (1993)/Chaconne _ Body through which the dream flows.mp3",-0.0162,0.60,-0.0163,0.50,0.9872,0.60,0.9796,0.80,-0.0109,0.50,-0.0107,0.40
"John Cage/Sonatas and Interludes for Prepared Piano/06 sonata-v.mp3",-0.0850,0.60,-0.0900,0.70,0.9830,0.80,0.9769,0.80,-0.0775,0.80,-0.0809,0.70
"John Carpenter/Unknown Album/01 Halloween Theme.mp3",0.0170,0.40,0.0329,0.50,0.9897,0.70,0.9787,0.70,0.0170,0.30,0.0316,0.40
"Jon Hopkins/Immunity/06 - Form by Firelight - Jon Hopkins.flac",-0.0156,0.10,0.0110,0.30,0.9694,0.30,0.9695,0.70,-0.0091,0.40,0.0189,0.20
"Judi Chicago/Judi Chicago/02 Good For Your Neighbourhood.mp3",-0.0299,0.20,-0.0174,0.20,0.9678,0.50,0.9561,0.60,-0.0322,0.30,-0.0172,0.00
"Julee Cruise/Floating Into The Night/06 Into The Night.mp3",0.0188,0.40,0.0020,0.50,0.9845,0.60,0.9617,0.40,0.0142,0.40,-0.0014,0.30
"Junior Boys/So This Is Goodbye/07 Like A Child.mp3",-0.0360,0.10,-0.0204,0.20,0.9752,0.40,0.9636,0.60,-0.0320,0.10,-0.0165,0.20
"Justice VS Trillville/Small Fries/Phantom Lever (Fresh Fried Fries Mixup).mp3",-0.0184,0.30,-0.0275,0.30,0.9753,0.50,0.9620,0.90,-0.0275,0.30,-0.0342,0.30
"Justice/New Lands/04 New Lands (A-Trak Remix).mp3",-0.0041,0.30,-0.0088,0.60,0.9787,0.30,0.9565,0.50,-0.0238,0.40,-0.0316,0.30
"Justice/On'n'On/1-06 On'n'On (Video Village Remix).mp3",0.0146,0.20,0.0133,0.30,0.9674,0.60,0.9283,0.50,0.0038,0.40,0.0028,0.40
"Kasso/Back To Mine - R\u00f6yksopp/03 One More Round.mp3",-0.0326,0.60,0.0005,0.70,0.9681,0.50,0.9646,0.80,-0.0446,0.40,-0.0062,0.40
"Kate Bush/Lionheart/02 In Search Of Peter Pan.mp3",-0.0570,0.70,-0.0514,0.60,0.9838,0.60,0.9716,0.70,-0.0515,0.60,-0.0468,0.70
"Kate Bush/Unknown Album/Cloudbusting [Karaoke].mp3",-0.0383,0.30,-0.0402,0.30,0.9867,0.30,0.9751,0.70,-0.0401,0.20,-0.0400,0.20
"KlockHaus/Unknown Album/TRI\u0394NGLE.mp3",0.0331,0.30,0.0525,0.30,0.9814,0.50,0.9782,0.60,0.0311,0.50,0.0497,0.30
"Koolaking/Parts in the Post/06 - One Latin.mp3",0.0142,0.20,-0.0000,0.50,0.9782,0.50,0.9659,0.50,0.0002,0.10,-0.0116,0.20
"LFO (Lyte Funky Ones)/Freak CDS/03 Whistle While You Jerk.mp3",0.0073,0.30,0.0172,0.40,0.9814,0.80,0.9778,0.80,0.0082,0.30,0.0176,0.40
"Ladytron/Light & Magic/01 True Mathematics.mp3",-0.0346,0.30,-0.0292,0.30,0.9877,0.70,0.9739,0.70,-0.0343,0.20,-0.0295,0.20
"Le Sport/Unknown Album/It's not the end of the world.mp3",-0.0102,0.40,-0.0368,0.30,0.9881,0.40,0.9721,0.70,-0.0201,0.30,-0.0480,0.30
"Liquid Sun/DJmixed.com_ Keoki/13 - Walkaway.mp3",-0.0552,0.50,-0.0512,0.70,0.9793,0.80,0.9514,0.80,-0.0540,0.40,-0.0506,0.50
"Logan's Sanctuary/Unknown Album/06 Metro.mp3",-0.0430,0.30,-0.0534,0.50,0.9774,0.30,0.9485,0.40,-0.0451,0.30,-0.0559,0.10
"Louis Prima/Ultra-Lounge, Vol. 15, Wild, Cool & Swingin' Too!/17 Just A Gigolo_ I Ain't Got Nobody.mp3",-0.0279,0.40,-0.0464,0.40,0.9751,0.50,0.9544,0.80,-0.0426,0.30,-0.0582,0.30
"Love Spirals Downwards/Flux/12 A Hui Hou.flac",0.0081,0.30,0.0093,0.50,0.9840,0.60,0.9623,0.40,0.0048,0.30,0.0069,0.20
"Lowfish/Now We Are Dead/01 Theme To A Dead End.mp3",0.0023,0.20,0.0124,0.40,0.9822,0.40,0.9593,0.60,0.0022,0.40,0.0108,0.40
"Lush/Split/03 - Blackout.mp3",-0.0061,0.20,-0.0074,0.50,0.9895,0.70,0.9790,0.40,0.0037,0.20,0.0011,0.30
"M83/Hurry Up, We're Dreaming/1-07 Train To Pluton.mp3",-0.0498,0.30,-0.0485,0.40,0.9647,0.50,0.9442,0.70,-0.0479,0.30,-0.0405,0.30
"MAN-CAT/The Rise And Fall Of Thuggy Stardust And The Hustlers From Mars/03 Can U Daydream (feat. 2Pac).mp3",-0.0111,0.20,0.0140,0.30,0.9893,0.50,0.9618,0.60,-0.0033,0.20,0.0244,0.10
"MC Chris/Unknown Album/Chinese Rap.mp3",-0.0036,0.30,-0.0164,0.20,0.9827,0.70,0.9753,0.50,-0.0008,0.20,-0.0128,0.10
"MIDNIGHT TELEVISION/MIDNIGHT TELEVISION/07 Commercial Dreams.mp3",-0.0356,0.10,-0.0417,0.20,0.9959,0.50,0.9903,0.50,-0.0311,0.00,-0.0370,0.10
"MM/Da Chip (Bonus Tracks)/Daft Medley.mp3",0.0157,0.40,0.0142,0.60,0.9914,0.80,0.9838,0.70,0.0256,0.50,0.0258,0.60
"MMM/Fabric 11_ Swayzak/12 - Donna.mp3",0.0481,0.40,0.0286,0.50,0.9801,0.60,0.9799,0.80,0.0293,0.50,0.0109,0.50
"Machine Drum/Now You Know/10 reel clear.mp3",0.0384,0.20,0.0495,0.20,0.9807,0.60,0.9527,0.60,0.0388,0.30,0.0479,0.40
"Martin Denny/Hypnotique & Exotica III/13 Harbor Lights.mp3",-0.0667,0.70,-0.0657,0.60,0.9608,0.70,0.9472,0.70,-0.0587,0.50,-0.0573,0.40
"Maximilian Skiba/Mixmag Presents_ The Return Of Mylo/15 Monster.mp3",-0.0746,0.40,-0.0703,0.50,0.9916,0.50,0.9844,0.70,-0.0716,0.20,-0.0680,0.20
"Melchior & Pronsato/Electronic Groove Card/118 Puerto Rican Girls (Original Mix).mp3",-0.0181,0.50,-0.0064,0.70,0.9834,0.70,0.9704,0.60,-0.0217,0.30,-0.0097,0.40
"Mercury Rev/All Is Dream/06 Little Rhymes.mp3",-0.0247,0.50,-0.0348,0.50,0.9594,0.50,0.9610,0.80,-0.0472,0.30,-0.0528,0.20
"Miami Vice/Palm Haze/09 Miami Run.mp3",0.0146,0.60,0.0171,0.60,0.9953,0.60,0.9917,0.70,0.0155,0.50,0.0188,0.50
"Michael Jackson/Cass' Pre-1980 Mix/04 Off The Wall.mp3",-0.0327,0.10,-0.0189,0.30,0.9872,0.70,0.9791,0.80,-0.0344,0.30,-0.0221,0.40
"Michael Jackson/Thriller/01 Wanna Be Startin' Somethin'.mp3",-0.0135,0.10,-0.0166,0.10,0.9933,0.50,0.9823,0.80,-0.0092,0.30,-0.0128,0.30
"Michael McDonald/Ultimate Collection (1976-2003)/04 Yah Mo B There.mp3",0.0109,0.20,0.0142,0.20,0.9886,0.70,0.9686,0.80,0.0101,0.40,0.0151,0.30
"Midnight Runners/VHS Wave Vol One/02 Stop Over.mp3",0.0324,0.40,0.0485,0.50,0.9909,0.60,0.9836,0.70,0.0292,0.60,0.0442,0.50
"Mike Flowers Pops/26 Mixes For Cash/13 Debase (Soft Palate).mp3",-0.0565,0.10,-0.0639,0.10,0.9860,0.60,0.9776,0.60,-0.0533,0.10,-0.0584,0.00
"Minibosses/Minibosses/Castlevania.mp3",-0.0634,0.20,-0.0712,0.20,0.9900,0.50,0.9574,0.50,-0.0593,0.40,-0.0658,0.20
"Mojo Nixon/Unknown Album/Elvis Is Everywhere (with Skid Roper).mp3",-0.0151,0.40,-0.0152,0.40,0.9772,0.60,0.9358,0.60,0.0004,0.30,0.0032,0.30
"Monty Python/Monty Python/I Bet They Won't Play This Song.mp3",-0.0505,0.30,-0.0360,0.50,0.9808,0.40,0.9673,0.70,-0.0450,0.10,-0.0284,0.30
"Munich Machine/Live at the Paradise Garage/10 - Get on the Funk Train.mp3",-0.0799,0.30,-0.0749,0.20,0.9818,0.20,0.9890,0.60,-0.0847,0.10,-0.0795,0.10
"My Bloody Valentine/Ecstasy and Wine/10 (Please) Lose Yourself in Me.mp3",-0.0111,0.50,-0.0040,0.40,0.9931,0.90,0.9875,0.90,-0.0130,0.50,-0.0056,0.40
"My Bloody Valentine/M B V/06 new you.mp3",0.0443,0.40,0.0414,0.50,0.9900,0.80,0.9578,0.70,0.0434,0.40,0.0364,0.50
"My Bloody Valentine/Unknown Album/Can I Touch You.mp3",0.0067,0.20,0.0008,0.20,0.9945,0.70,0.9854,0.70,0.0054,0.30,-0.0009,0.30
"Mylo/Mixmag Presents_ The Return Of Mylo/14 Wings Of Fire.mp3",0.0176,0.20,0.0069,0.20,0.9844,0.60,0.9736,0.60,0.0253,0.20,0.0140,0.10
"N'Dea Davenport/Yoshiesque/14 - Oh Mother Earth (Embrace) (Live Element Dub).mp3",-0.0578,0.40,-0.0609,0.70,0.9907,0.30,0.9794,0.40,-0.0586,0.40,-0.0626,0.40
"Nancy/Chora Matisse !/Mamba Negra Fashion Week.mp3",-0.0461,0.30,-0.0629,0.60,0.9793,0.50,0.9575,0.50,-0.0424,0.30,-0.0598,0.20
"Narctrax/Valerie and Friends/15 Excalibur Galactica.mp3",0.0105,0.40,0.0176,0.60,0.9748,0.60,0.9638,0.60,0.0064,0.20,0.0094,0.30
"Nelue/Cosmic Balearic Beats Vol.2/04 No Strings Attached.mp3",-0.0041,0.40,-0.0071,0.60,0.9935,0.50,0.9815,0.50,-0.0123,0.50,-0.0152,0.30
"Neon Blonde/Chandeliers In the Savanna/08 New Detroit.mp3",-0.0067,0.20,-0.0149,0.40,0.9802,0.70,0.9551,0.60,-0.0162,0.20,-0.0226,0.30
"Neon Indian/Sleep Paralysist Remixes/Sleep Paralysist (Com Truise 'Eyelid' Remix).mp3",0.0255,0.40,0.0069,0.40,0.9883,0.80,0.9726,0.60,0.0262,0.40,0.0063,0.30
"Nico/Chelsea Girl/07 I'll Keep It With Mine.mp3",-0.0483,0.60,-0.0338,0.70,0.9879,0.50,0.9734,0.90,-0.0470,0.40,-0.0310,0.40
"Niels Van Gogh/Gatecrasher_ Red/19 - Pulverturm (Quake Mix).mp3",-0.0850,0.60,-0.0810,0.60,0.9870,0.60,0.9730,0.80,-0.0804,0.60,-0.0774,0.50
"Nightforce/Unknown Album/Power Glove.mp3",-0.0267,0.30,0.0014,0.50,0.9690,0.60,0.9723,0.60,-0.0324,0.20,-0.0052,0.30
"Nine Inch Nails/Natural Born Killers [Original Soundtrack]/08 - Burn.mp3",0.0051,0.50,0.0082,0.60,0.9806,0.70,0.9659,0.60,-0.0078,0.40,-0.0033,0.40
"Nirvana/Unknown Album/Rape Me.mp3",-0.0208,0.40,-0.0359,0.50,0.9843,0.60,0.9568,0.70,-0.0268,0.50,-0.0396,0.40
"Omega Supreme Records/SASAC - HYPERION/07 - Cloud Ascension.mp3",0.0106,0.40,0.0113,0.40,0.9956,0.80,0.9874,0.70,0.0081,0.50,0.0084,0.40
"Orchestral Manoeuvres In The Dark/Metroland/06 Metroland (Roger Erickson Remix).mp3",-0.0108,0.00,-0.0033,0.40,0.9493,0.40,0.9128,0.30,0.0041,0.30,0.0142,0.20
"POOLSIDE_PIXELATED/Unknown Album/01 Slow Down (PIXELATED 2012 End.mp3",0.0120,0.30,0.0110,0.50,0.9725,0.20,0.9752,0.50,-0.0030,0.30,-0.0081,0.10
"Patrick Wolf/Lupercalia/08 The Days.mp3",0.0023,0.40,0.0019,0.50,0.9813,0.40,0.9590,0.50,-0.0098,0.40,-0.0128,0.30
"Patrick Wolf/Wind In The Wires/04 Wind in the Wires.mp3",0.0175,0.40,-0.0181,0.40,0.9385,0.50,0.9207,0.80,0.0188,0.40,-0.0095,0.30
"Paul + Diane/Unknown Album/I Believe in You 051608.mp3",-0.0199,0.40,-0.0147,0.30,0.9598,0.30,0.9554,0.70,-0.0185,0.20,-0.0171,0.20
"Paul Kass/Tomorrow's Achievements_ Parry Music Library 1976-86 LP/02 Bio-Rhythm.mp3",-0.0354,0.60,-0.0399,0.70,0.9969,0.70,0.9957,0.50,-0.0379,0.60,-0.0424,0.70
"Pet Shop Boys/PopArt (Disc 2)/18 Somewhere.mp3",-0.0328,0.20,-0.0402,0.20,0.9602,0.40,0.9424,0.50,-0.0434,0.50,-0.0521,0.20
"Peter Bjorn & John/Writer's Block/08 Let's Call It Off (Single Mix).mp3",0.0116,0.30,0.0046,0.30,0.9849,0.30,0.9770,0.80,0.0171,0.30,0.0085,0.30
"Peter Bjorn and John/Rixe des Remix 4/Young Folks (Punks Jump Up Special Disco Mix).mp3",-0.0319,0.40,-0.0683,0.50,0.9688,0.40,0.9538,0.70,-0.0295,0.30,-0.0622,0.30
"Phil Collins/Greatest Hits vol 1/18 Separate Lives.mp3",0.0547,0.40,0.0540,0.40,0.9827,0.50,0.9709,0.80,0.0394,0.70,0.0396,0.60
"Philip Glass/Music In Twelve Parts/3-03 Part 11.mp3",-0.0448,0.70,-0.0345,0.50,0.9930,0.80,0.9843,0.70,-0.0438,0.70,-0.0337,0.50
"Philip Glass/The Music of Candyman/08 From Candyman II_ Daniel's Flashback.mp3",-0.0464,0.30,-0.0435,0.40,0.9714,0.70,0.9837,0.80,-0.0389,0.50,-0.0413,0.50
"Phonique/Electronic Groove Card/120 Our Time Our Chance (feat. Ian Whitelaw - Wahoo Remix).mp3",-0.0214,0.30,-0.0215,0.40,0.9841,0.40,0.9716,0.70,-0.0403,0.20,-0.0409,0.30
"Pizzicato Five/The Sound Of Music By Pizzicato Five/04 Happy Sad.mp3",-0.0459,0.20,-0.0432,0.30,0.9784,0.70,0.9204,0.60,-0.0609,0.10,-0.0527,0.10
"Plaid/Not for Threes/Getting.mp3",0.0031,0.30,-0.0151,0.70,0.9759,0.60,0.9663,0.60,0.0064,0.30,-0.0107,0.40
"Plaid/Trainer (CD1)/11 Prig.mp3",-0.0261,0.50,-0.0413,0.60,0.9840,0.30,0.9669,0.70,-0.0151,0.20,-0.0299,0.40
"Plaid/scintilli/1-09 talk to us.mp3",0.0129,0.30,0.0184,0.20,0.9882,0.30,0.9766,0.70,0.0160,0.20,0.0218,0.10
"Plaisance/Children of the eighties/08 Dreams & Nightmares.mp3",-0.0037,0.60,-0.0239,0.40,0.9786,0.50,0.9509,0.60,-0.0031,0.40,-0.0221,0.40
"Plug/Compilation Tracks for Which I Was Never Paid/04 A Hot One.mp3",-0.0049,0.30,-0.0192,0.50,0.9348,0.30,0.9361,0.40,-0.0116,0.40,-0.0135,0.10
"Police/Unknown Album/Every Breath You Take.mp3",-0.0069,0.40,-0.0040,0.50,0.9889,0.90,0.9869,0.80,-0.0093,0.50,-0.0071,0.50
"Prefuse 73/One Word Extinguisher/09 Busy Signal (Make You Go Bombing Mix) (A Prefuse_Daedelus Production).mp3",-0.0030,0.00,-0.0140,0.30,0.9639,0.10,0.9429,0.20,0.0154,0.40,0.0035,0.10
"Prefuse 73/Preparations & Interregnums/Sunbeamstress.mp3",-0.0484,0.20,-0.0445,0.30,0.9893,0.60,0.9842,0.50,-0.0578,0.20,-0.0531,0.00
"Project/Winter in June/12 Random Roads Suite_ Devine.mp3",-0.0104,0.40,-0.0181,0.50,0.9956,0.70,0.9865,0.60,-0.0160,0.40,-0.0236,0.60
"Psychic TV/Force The Hand Of Chance/05 Guiltless (WITH Marc Almond).mp3",0.0113,0.20,-0.0109,0.20,0.9681,0.50,0.9578,0.50,0.0079,0.20,-0.0139,0.10
"Pt\u00f4se/New Wave Club Class-X Box (Sinners Day 2011)/216 Boule (Viens Ici) !.mp3",-0.0317,0.30,-0.0311,0.50,0.9902,0.40,0.9827,0.60,-0.0404,0.20,-0.0387,0.10
